valid_time,latitude,longitude,Total Precipitation (mm),Evaporation (mm),Surface Runoff (mm),Mean Wave Direction (°),10m U-Component of Wind (m/s),10m V-Component of Wind (m/s),2m Temperature,Mean Sea Level (°C),Sea Surface Temperature (°C),Soil Temperature Level 1 (°C),Soil Type,Soil Water Volume Level 1 (m³/m³),number,Experiment Version,Flood_Occurred
2019-06-01,17.75,83.25,0.00334,-4.2449999999999995e-05,0.0,191.5300155757932,0.735733041,4.1790771499999995,303.452275,100314.345,302.9279268276109,305.33313,3.0,0.07674486,0,1,0
2019-06-01,17.75,83.5,0.00477,-7.59e-05,0.0,191.5300155757932,1.4398346000000002,5.421753000000001,302.271615,100322.155,302.3003,302.29993,0.0,7.800000000000002e-07,0,1,0
2019-06-01,17.75,83.75,0.00286,-0.000113174,0.0,191.5300155757932,1.84559633,5.7489015000000006,302.63977,100322.47,302.88916,302.88879499999996,0.0,7.800000000000002e-07,0,1,0
2019-06-01,17.75,84.0,0.008110000000000001,-0.00012713649999999998,0.0,191.5300155757932,1.98524473,5.74841315,302.93859999999995,100328.155,303.21045,303.21106,0.0,7.800000000000002e-07,0,1,0
2019-06-01,17.75,84.25,0.01,-0.0001289695,0.0,191.5300155757932,2.1380767499999997,5.713745,302.857545,100340.47,303.2505,303.251095,0.0,7.800000000000002e-07,0,1,0
2019-06-01,17.75,84.5,0.008579999999999999,-0.0001259295,0.0,191.5300155757932,2.3006744,5.6673585,302.800905,100348.72,303.188,303.188595,0.0,7.800000000000002e-07,0,1,0
2019-06-01,17.75,84.75,0.0052499999999999995,-0.0001140685,0.0,191.5300155757932,2.43788145,5.5228269999999995,302.732545,100359.845,302.92822,302.92884000000004,0.0,7.800000000000002e-07,0,1,0
2019-06-01,17.75,85.0,0.0042899999999999995,-0.000103854,0.0,191.5300155757932,2.54725645,5.4954833999999995,302.571415,100376.095,302.63916,302.63879499999996,0.0,7.800000000000002e-07,0,1,0
2019-06-01,17.75,85.25,0.001907,-0.00010664999999999999,0.0,191.5300155757932,2.62635805,5.368042000000001,302.64074500000004,100387.655,302.67627,302.67688,0.0,7.800000000000002e-07,0,1,0
2019-06-01,17.75,85.5,0.0023840000000000003,-0.000125274,0.0,191.5300155757932,2.78456115,5.2796631000000005,302.71398,100402.53,303.01416,303.01477,0.0,7.800000000000002e-07,0,1,0
2019-06-01,17.75,85.75,0.0047669999999999995,-0.00014562899999999998,0.0,191.5300155757932,2.91493225,5.2196045,302.88001,100413.97,303.39404,303.394655,0.0,7.800000000000002e-07,0,1,0
2019-06-01,17.75,86.0,0.010017,-0.000149071,0.0,191.5300155757932,2.87294,5.0682373,302.86339999999996,100425.595,303.49072,303.490355,0.0,7.800000000000002e-07,0,1,0
2019-06-01,17.75,86.25,0.016677,-0.0001542715,0.0,191.5300155757932,2.8231354,4.94519045,302.93762000000004,100435.345,303.54248,303.543085,0.0,7.800000000000002e-07,0,1,0
2019-06-01,17.75,86.5,0.00954,-0.00015471849999999999,0.0,191.5300155757932,2.6170807500000004,4.77233885,302.92591000000004,100443.845,303.49854,303.49817499999995,0.0,7.800000000000002e-07,0,1,0
2019-06-01,17.75,86.75,0.008110000000000001,-0.000158444,0.0,191.5300155757932,2.46131895,4.631225499999999,302.88978,100453.405,303.52197,303.521605,0.0,7.800000000000002e-07,0,1,0
2019-06-01,17.75,87.0,0.00668,-0.00015242400000000002,0.0,191.5300155757932,2.4071197499999997,4.3509519999999995,302.839965,100462.155,303.4712,303.47180000000003,0.0,7.800000000000002e-07,0,1,0
2019-06-01,18.0,80.0,0.01,-4.965e-05,0.0,191.5300155757932,0.397354125,0.24304199999999998,306.132935,100340.905,302.9279268276109,308.68176500000004,3.0,0.1435631,0,1,0
